Id,Label,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality
783,,4,3,7,2.5,1.85,4.35,6,0.316149,0.335175,4333.095375,0.006936,0.006942,0.000188,0,506,7,62,0,0.043401
493,,10,8,18,5.86,4.8,10.66,6,0.323073,0.344404,4280.361465,0.012988,0.012637,0.000366,0,506,0,6,0.2,0.07458
1358,,3,2,5,1.75,1.25,3,6,0.315006,0.33533,760.723332,0.00756,0.007724,0.000137,0,506,7,18,0.166667,0.046245
1180,,5,6,11,2.8,3.45,6.25,6,0.326878,0.348795,1657.664796,0.011437,0.014491,0.000175,0,506,4,15,0.3,0.060613
529,,12,12,24,6.75,6.9,13.65,6,0.305628,0.325518,26920.636511,0.005062,0.004879,0.000513,0,506,0,58,0.015152,0.034613
333,,13,13,26,7.75,7.46,15.21,6,0.341102,0.364923,5103.692628,0.025008,0.026838,0.000412,0,506,4,66,0.324176,0.135158
1538,,3,3,6,1.7,1.8,3.5,6,0.314636,0.334552,432.734664,0.007714,0.007572,0.000146,0,506,0,6,0.333333,0.044989
2282,,1,1,2,0.6,0.65,1.25,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
1519,,3,3,6,1.7,1.8,3.5,6,0.305329,0.323672,312.716412,0.005149,0.004931,0.000118,0,506,4,25,0,0.030317
2966,,1,1,2,0.55,0.65,1.2,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
474,,11,12,23,6.35,6.41,12.76,6,0.312328,0.333111,27968.577874,0.006339,0.007948,0.000537,0,506,0,18,0.037879,0.040772
330,,17,19,36,9.75,9.71,19.46,6,0.339218,0.361222,11753.359221,0.024495,0.025212,0.000522,0,506,0,20,0.132246,0.122847
958,,9,8,17,4.9,4.6,9.5,6,0.326764,0.347709,10799.614578,0.010978,0.010257,0.000344,0,506,0,106,0.111111,0.060845
17,,108,111,219,64.85,67.16,132.01,6,0.390516,0.422058,250202.143139,0.100138,0.104684,0.0035,0,506,2,47,0.08407,0.526526
1295,,4,4,8,2.25,2.35,4.6,6,0.32495,0.34545,894.118972,0.009796,0.008769,0.000176,0,506,0,60,0.5,0.05409
38,,59,80,139,36.85,47.37,84.22,6,0.369163,0.398399,197074.735376,0.040561,0.050769,0.002178,0,506,0,7,0.059722,0.229644
1952,,1,1,2,0.6,0.65,1.25,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
223,,17,19,36,10.3,11.25,21.55,6,0.338391,0.360533,18421.039331,0.016877,0.018179,0.000671,0,506,1,37,0.155263,0.106837
625,,8,6,14,4.65,3.65,8.3,6,0.298304,0.318054,10743.689042,0.005274,0.005562,0.000492,0,506,1,13,0.089286,0.042031
1392,,2,2,4,1.25,1.15,2.4,6,0.309286,0.327982,174.862186,0.006361,0.006267,0.000101,0,506,0,17,0,0.036724
3355,,1,1,2,0.55,0.6,1.15,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
1881,,2,2,4,1.15,1.15,2.3,6,0.293583,0.31237,0,0.003647,0.003633,0.000134,0,506,0,17,1,0.024701
58,,79,131,210,44.64,70.28,114.92,5,0.392028,0.427431,212247.530222,0.057569,0.128515,0.002601,0,506,4,44,0.081795,0.295648
96,,43,47,90,25.2,26.01,51.21,6,0.36492,0.392083,89702.620122,0.04257,0.048738,0.0012,0,506,6,72,0.114955,0.206884
1580,,4,4,8,2.2,2.3,4.5,6,0.3087,0.327627,311.036963,0.007042,0.007188,0.00015,0,506,4,25,0.666667,0.041592
196,,23,22,45,13.5,10.98,24.48,6,0.344457,0.368317,22245.955636,0.032716,0.027757,0.000731,0,506,0,8,0.174877,0.162688
146,,35,35,70,20.05,20.05,40.1,6,0.358393,0.38461,90549.374194,0.038539,0.039671,0.001443,0,506,0,13,0.084874,0.214944
416,,13,12,25,7.51,7.6,15.11,6,0.320722,0.341793,6876.97722,0.015769,0.011136,0.000405,0,506,4,15,0.160256,0.080949
1198,,4,4,8,2.3,2.35,4.65,6,0.30898,0.328525,652.391245,0.007857,0.0078,0.000153,0,506,4,94,0.333333,0.045049
3319,,1,1,2,0.55,0.6,1.15,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
1867,,3,3,6,1.65,1.75,3.4,6,0.309465,0.329166,662.644618,0.006739,0.00505,0.000144,0,506,0,13,0.5,0.032611
896,,7,6,13,3.95,3.45,7.4,6,0.305031,0.324437,1597.350125,0.008206,0.006186,0.000247,0,506,4,15,0.380952,0.047357
617,,10,9,19,5.65,5.35,11,6,0.320229,0.339716,5774.388166,0.013176,0.009449,0.000335,0,506,0,6,0.090909,0.069707
3300,,1,1,2,0.55,0.6,1.15,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
1877,,2,2,4,1.15,1.15,2.3,6,0.29497,0.31386,182.306242,0.003812,0.003796,0.000107,0,506,0,17,0,0.025381
462,,13,14,27,7.4,8.2,15.6,6,0.324444,0.345708,21086.00708,0.011373,0.012067,0.000459,0,506,4,15,0.07619,0.066362
3279,,1,1,2,0.55,0.6,1.15,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
454,,13,14,27,7.4,8.05,15.45,6,0.340389,0.362521,11110.359418,0.017757,0.019011,0.000428,0,506,4,38,0.142857,0.100656
1860,,3,3,6,1.65,1.8,3.45,6,0.299329,0.318099,390.638511,0.004695,0.004548,0.000133,0,506,4,45,0.333333,0.029337
121,,32,34,66,19.05,20.15,39.2,6,0.347879,0.371688,101629.646918,0.014636,0.018578,0.001338,0,506,1,7,0.053175,0.092704
151,,20,20,40,12.5,12.75,25.25,6,0.308827,0.331096,56828.355434,0.006425,0.006374,0.001137,0,506,0,13,0.063158,0.046505
1570,,4,4,8,2.2,2.35,4.55,6,0.306127,0.325483,1153.273713,0.007791,0.005366,0.000129,0,506,0,8,0.15,0.040283
1573,,3,3,6,1.7,1.8,3.5,6,0.317059,0.336367,481.649331,0.007713,0.007654,0.000133,0,506,0,94,0.333333,0.045479
1063,,6,6,12,3.35,3.45,6.8,6,0.320942,0.341936,3475.955534,0.01085,0.010267,0.00025,0,506,4,94,0.166667,0.059234
1353,,4,4,8,2.25,2.25,4.5,6,0.301133,0.320492,884.408086,0.005325,0.005428,0.000163,0,506,4,15,0.166667,0.033815
459,,11,11,22,6.4,6.25,12.65,6,0.325515,0.346166,4783.30155,0.011318,0.012601,0.000416,0,506,0,13,0.121212,0.066297
2334,,2,2,4,1.1,1.25,2.35,6,0.315006,0.33533,549.383307,0.007373,0.007724,0.000111,0,506,0,17,0,0.045532
1267,,4,4,8,2.25,2.25,4.5,6,0.301448,0.321088,2579.993543,0.004504,0.004691,0.000164,0,506,7,53,0.45,0.030277
1060,,6,6,12,3.35,3.4,6.75,6,0.318622,0.339316,2263.028901,0.0092,0.009758,0.000237,0,506,4,66,0.166667,0.056845
1061,,4,4,8,2.35,2.4,4.75,6,0.319356,0.340713,1188.664788,0.010064,0.010447,0.000165,0,506,4,94,0.333333,0.060077
7431,,3,4,7,1.11,2.35,3.46,6,0.319819,0.340597,906.536873,0.00893,0.011251,0.000135,0,506,0,100,0.5,0.053404
1355,,3,2,5,1.75,1.2,2.95,6,0.293583,0.31237,2142.700352,0.003637,0.003548,0.000164,0,506,0,17,0,0.024715
71,,22,21,43,15.4,13.85,29.25,6,0.330657,0.352967,49184.656874,0.012746,0.012805,0.000892,0,506,6,7,0.038961,0.078244
3070,,1,1,2,0.55,0.6,1.15,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
2113,,1,1,2,0.6,0.6,1.2,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
3001,,1,2,3,0.55,1.15,1.7,6,0.294067,0.312984,226.469991,0.000123,0.003715,0.000084,0,506,0,17,0,0.001241
396,,14,13,27,8.05,7.65,15.7,6,0.354427,0.378467,4823.267115,0.032828,0.030761,0.000405,0,506,0,20,0.406593,0.169157
2260,,1,1,2,0.6,0.6,1.2,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
142,,46,45,91,25.62,26.01,51.63,6,0.368981,0.396495,68524.934669,0.063194,0.062508,0.001451,0,506,2,1,0.129972,0.332606
2238,,2,2,4,1.1,1.15,2.25,6,0.294575,0.313357,344.78527,0.003764,0.003689,0.000105,0,506,0,17,0,0.024745
123,,33,36,69,19.55,20.02,39.57,6,0.367101,0.393937,33086.602902,0.060719,0.058509,0.000917,0,506,4,85,0.20045,0.306969
2942,,1,1,2,0.55,0.6,1.15,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
1509,,4,4,8,2.2,2.25,4.45,6,0.29952,0.318295,891.464702,0.004402,0.00446,0.000169,0,506,2,54,0,0.029062
7410,,6,7,13,2.71,4,6.71,6,0.319383,0.33896,3123.024031,0.006046,0.009454,0.000227,0,506,4,28,0.071429,0.031289
1760,,12,14,26,6.16,7.21,13.37,6,0.336325,0.358616,5427.046719,0.017064,0.021,0.000428,0,506,2,77,0.203297,0.090572
2876,,1,1,2,0.55,0.6,1.15,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
259,,24,25,49,13.6,13.76,27.36,6,0.349338,0.373468,17265.190158,0.032344,0.033313,0.000781,0,506,4,91,0.145,0.170692
1493,,3,2,5,1.7,1.15,2.85,6,0.320777,0.339187,50.245313,0.009489,0.008203,0.000128,0,506,0,7,0.666667,0.052825
2845,,1,1,2,0.55,0.6,1.15,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
370,,15,16,31,8.6,8.81,17.41,6,0.343069,0.366204,10424.669881,0.026006,0.025024,0.000478,0,506,4,80,0.179167,0.133101
2844,,1,3,4,0.55,1.8,2.35,6,0.303745,0.323294,638.594132,0.003555,0.005427,0.000079,0,506,7,70,0,0.023763
2167,,2,2,4,1.1,1.15,2.25,6,0.320777,0.339187,0,0.00829,0.008203,0.000105,0,506,0,17,1,0.046993
156,,39,48,87,21.95,27.31,49.26,6,0.373319,0.400151,63623.676578,0.056947,0.060972,0.001241,0,506,0,97,0.113946,0.295989
2808,,1,1,2,0.55,0.6,1.15,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
255,,34,35,69,18.61,19.65,38.26,6,0.356348,0.3801,52133.41283,0.042981,0.040718,0.001101,0,506,2,84,0.120635,0.227634
736,,3,3,6,2.05,2.1,4.15,6,0.301715,0.321208,0,0.004581,0.004587,0.000157,0,506,0,13,1,0.031397
7603,,93,66,159,36.14,42.31,78.45,6,0.371431,0.399355,173987.300539,0.075794,0.062913,0.003207,0,506,2,41,0.080824,0.398745
346,,15,16,31,8.7,9.55,18.25,6,0.335693,0.357691,7238.194251,0.020115,0.019301,0.000477,0,506,0,72,0.3125,0.110473
9,,133,143,276,82.56,80.87,163.43,6,0.39015,0.424891,321667.103824,0.126969,0.114198,0.004206,0,506,2,11,0.06347,0.662283
75,,53,54,107,30.7,31.25,61.95,6,0.394048,0.421604,160084.091892,0.070834,0.071123,0.001604,0,506,2,50,0.124738,0.374075
175,,27,27,54,15.65,15.8,31.45,6,0.347782,0.37063,32500.9462,0.024303,0.025213,0.001013,0,506,1,99,0.126781,0.147479
2754,,1,1,2,0.55,0.6,1.15,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
22,,103,148,251,61.75,87.81,149.56,5,0.408838,0.443386,341386.485072,0.105263,0.144092,0.00336,0,506,0,43,0.067638,0.554813
155,,37,39,76,20.95,21.66,42.61,6,0.357197,0.381946,58480.2253,0.038175,0.039351,0.001178,0,506,0,62,0.072561,0.209159
1261,,4,4,8,2.25,2.25,4.5,6,0.293998,0.313095,16277.897125,0.003704,0.003688,0.000279,0,506,0,13,0.166667,0.025672
2552,,1,2,3,0.55,1.2,1.75,6,0.298709,0.317854,0,0.000522,0.004035,0.000088,0,506,0,17,1,0.00397
2586,,1,1,2,0.55,0.6,1.15,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
710,,6,7,13,3.55,4.1,7.65,6,0.340853,0.361694,3229.018193,0.015221,0.015555,0.000238,0,506,1,49,0.547619,0.091254
578,,7,9,16,4.2,5.4,9.6,6,0.317193,0.338991,6024.008607,0.00699,0.00801,0.000301,0,506,0,13,0.263889,0.045593
472,,9,10,19,5.35,5.9,11.25,6,0.308827,0.329134,18153.537905,0.005674,0.005934,0.000422,0,506,1,54,0.055556,0.038149
2472,,1,2,3,0.55,1.15,1.7,6,0.295691,0.314687,1958.388688,0.000174,0.003694,0.000104,0,506,0,17,0,0.001561
1606,,2,3,5,1.15,1.7,2.85,6,0.29483,0.313891,1515.755696,0.003659,0.003833,0.000123,0,506,0,109,0,0.025092
4,,201,215,416,129.9,131.31,261.21,5,0.400192,0.440917,846480.361984,0.10426,0.110217,0.00803,0,506,1,76,0.026903,0.612441
563,,11,10,21,6.2,5.65,11.85,6,0.312745,0.333173,8155.293691,0.009034,0.006826,0.000452,0,506,1,74,0.063636,0.057949
744,,6,6,12,3.55,3.3,6.85,6,0.3149,0.334637,2280.907578,0.007947,0.007419,0.000224,0,506,0,60,0.233333,0.046201
3422,,1,1,2,0.55,0.55,1.1,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
250,,15,15,30,9.1,9.15,18.25,6,0.350252,0.372284,16686.840104,0.02854,0.026145,0.0005,0,506,1,67,0.2625,0.153562
249,,28,34,62,15.61,18.33,33.94,6,0.355672,0.380224,35312.446929,0.033723,0.04203,0.000857,0,506,4,60,0.133613,0.178537
2427,,2,2,4,1.1,1.1,2.2,6,0.29356,0.312325,416.672689,0.003637,0.003613,0.000113,0,506,0,17,0,0.024332
3414,,1,1,2,0.55,0.55,1.1,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
1590,,3,13,16,1.7,7.2,8.9,6,0.327936,0.350569,4283.377207,0.00929,0.014568,0.00011,0,506,6,72,0.384615,0.043168
2305,,2,2,4,1.1,1.1,2.2,6,0.308547,0.327048,367.814832,0.005414,0.005379,0.000108,0,506,0,17,0,0.033865
1900,,3,3,6,1.65,1.65,3.3,6,0.309209,0.328699,199.716599,0.00719,0.005539,0.000124,0,506,4,26,0.833333,0.034289
3392,,1,3,4,0.55,1.85,2.4,6,0.309414,0.328961,0,0.003034,0.005512,0.000067,0,506,4,6,0.333333,0.007276
1065,,7,8,15,3.85,4.45,8.3,6,0.329783,0.350894,1221.508186,0.012627,0.016073,0.000224,0,506,4,15,0.321429,0.06403
1147,,6,9,15,3.3,4.75,8.05,6,0.332328,0.355418,3148.157796,0.01377,0.017027,0.000235,0,506,0,106,0.319444,0.080719
1072,,3,4,7,1.85,2.65,4.5,6,0.317354,0.337448,2308.499641,0.006228,0.007082,0.000139,0,506,1,78,0,0.038356
3375,,1,1,2,0.55,0.55,1.1,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
1024,,4,4,8,2.35,2.21,4.56,6,0.304115,0.323779,2598.050133,0.009243,0.005925,0.000184,0,506,11,75,0.1,0.0547
709,,3,3,6,2.1,2.1,4.2,6,0.299616,0.319029,7515.544325,0.004318,0.004071,0.000176,0,506,0,72,0,0.027045
1382,,3,3,6,1.75,1.75,3.5,6,0.30898,0.328498,557.430289,0.006767,0.004977,0.000119,0,506,4,38,0.166667,0.031769
3332,,1,1,2,0.55,0.55,1.1,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
1885,,3,3,6,1.65,1.65,3.3,6,0.299018,0.317836,2.502381,0.004562,0.004701,0.000133,0,506,4,15,0.666667,0.030222
3330,,1,1,2,0.55,0.55,1.1,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
1197,,4,4,8,2.3,2.35,4.65,6,0.313924,0.333102,417.219765,0.007982,0.007137,0.00015,0,506,4,15,0.416667,0.042214
3316,,1,1,2,0.55,0.55,1.1,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
1886,,3,3,6,1.65,1.65,3.3,6,0.295808,0.314652,4.030427,0.003971,0.003965,0.000143,0,506,0,13,0.666667,0.02663
154,,44,51,95,24.45,27.86,52.31,6,0.383678,0.410907,149314.704312,0.068112,0.077906,0.001274,0,506,4,52,0.162554,0.350242
1522,,4,5,9,2.2,1.67,3.87,6,0.303868,0.322729,1351.663266,0.008453,0.004952,0.000163,0,506,4,22,0.1,0.048673
2391,,2,3,5,1.1,1.11,2.21,6,0.29952,0.317983,3492.943442,0.003563,0.003836,0.000127,0,506,0,38,0,0.024089
3298,,1,1,2,0.55,0.55,1.1,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
432,,14,15,29,7.95,8.4,16.35,6,0.303425,0.323757,12770.535555,0.006213,0.006714,0.0006,0,506,0,15,0.071429,0.042674
3292,,1,1,2,0.55,0.55,1.1,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
3290,,1,1,2,0.55,0.55,1.1,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
7597,,9,8,17,0.09,4.5,4.59,6,0.326195,0.34597,1323.863171,0.016379,0.014659,0.000256,0,506,2,25,0.366667,0.077999
3274,,1,2,3,0.55,1.1,1.65,6,0.297759,0.316418,0,0.000611,0.004221,0.000076,0,506,0,17,1,0.003788
1875,,3,3,6,1.65,1.65,3.3,6,0.306779,0.325193,133.683417,0.005417,0.00536,0.000129,0,506,0,6,0.333333,0.033406
291,,13,13,26,7.95,8.2,16.15,6,0.333274,0.357219,7648.104099,0.027119,0.025465,0.000423,0,506,4,26,0.397436,0.134322
158,,23,23,46,13.95,14.7,28.65,6,0.337355,0.362459,14905.783503,0.033966,0.033544,0.000679,0,506,4,45,0.266798,0.175878
1579,,4,3,7,2.2,1.7,3.9,6,0.308116,0.32675,547.406252,0.009652,0.006197,0.00015,0,506,0,15,0.333333,0.051531
1846,,3,3,6,1.65,1.65,3.3,6,0.306628,0.326426,580.459045,0.006118,0.006279,0.000146,0,506,4,30,0.333333,0.03843
1066,,5,5,10,2.85,2.75,5.6,6,0.295225,0.314314,9505.289628,0.003946,0.003901,0.000322,0,506,0,13,0.2,0.027052
290,,23,23,46,12.95,13.1,26.05,6,0.343667,0.367218,11162.926984,0.033196,0.033079,0.000683,0,506,4,47,0.247036,0.175696
3233,,1,1,2,0.55,0.55,1.1,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
891,,5,4,9,2.95,2.45,5.4,6,0.31765,0.33828,1742.604506,0.010093,0.009192,0.000189,0,506,4,73,0.3,0.058575
247,,18,17,35,10.65,11,21.65,6,0.327277,0.34923,26169.635654,0.022257,0.018745,0.000661,0,506,4,94,0.212418,0.123628
1856,,5,4,9,2.65,2.2,4.85,6,0.311834,0.330593,1082.051465,0.010575,0.006797,0.00016,0,506,0,22,0.05,0.054616
3211,,1,1,2,0.55,0.55,1.1,6,0.293514,0.312147,0,0.003555,0.003539,0.000079,0,506,0,17,0,0.023763
115,,44,44,88,25.3,25,50.3,6,0.351699,0.378872,55462.861896,0.043049,0.043396,0.001454,0,506,4,6,0.089323,0.23134
